Ortsliste
Saalfeld (Saale)
Marl-Sinsen
Dillingen (Saar)
Niederahr
Lambrecht (Pfalz)
Karlsruhe-Rheinbrücke
Gremberg
Borken (Hess)
Meudt (Westerw)
Saal (Donau)
Hamburg-Eidelstedt
Kulmbach
Eisenach HTB
Karlsruhe Hafen
Nordhorn
Duisburg-Wedau
Lörrach
Trompet
Ehrang
Ehingen (Donau)
Dettingen (Teck)
Recklinghausen Süd
Münster (Westf) Ost
Brilon Egger Spanplattenwerk
Walsrode
Emden Volkswagen
Kiel Norwegenkai
Kempten (Allgäu) Hbf
Kirchmöser
Hamburg Süd
Essingen (b Aalen)
Wörth (Rhein)
Minden Königstor
München-Pasing
Witten Hbf
Fulda
Kirchweyhe
Dillenburg
Neustadt (Donau)
Rostock-Bramow
Kehl
Baruth (Mark)
Einsiedlerhof
Ingolstadt Nord Werkbf Terreno
München Nord Rbf
Giengen (Brenz)
Blankenstein (Ruhr)
Ludwigsfelde
Vorsfelde
Hennigsdorf (b Berlin)
Homburg (Saar) Hbf
Berlin Nordost
Hüttental-Geisweid
Rastatt
Halle (Saale) Gbf
Karlsruhe-Neureut
Volkmarsen
Walsum
Feldkirchen (b München)
Hamburg-Waltershof
Celle
München-Giesing
Ilsenburg
Oberkirch
Paderborn Nord
Düsseldorf-Derendorf
Fallersleben
Hausach
Altenschwand
Seddin Süd
Seddin
Esch (Westf)
Sindelfingen
Bützfleth
Köln Eifeltor
Eberswalde Hbf
München-Laim
Freiburg (Breisgau) Gbf
Würgendorf
Neubrandenburg
Stolberg (Rheinl) Hammer
Brunsbüttel
Könitz (Thür)
Rammelsbach
Allendorf (Eder)
Hürth-Kalscheuren
Koblenz-Lützel
Gablingen
Kronach
Mainz-Bischofsheim
Mainz-Gustavsburg
Hannover-Leinhausen
Kiel Ostuferhafen
Gaggenau
Völklingen
Engelsdorf (b Leipzig)
Ulm Hbf
Dingolfing
Berlin-Rummelsburg
Augsburg Hbf
Bremerhaven Kaiserhafen
Rheinfelden (Baden)
Bebra
Burghausen Wackerwerk
Senftenberg
Weiden (Oberpf)
Kiel-Meimersdorf
Nordenham
Offenburg Gbf
Cottbus
Düsseldorf-Reisholz
Wörth (Isar)
Baunatal
Regensburg Ost
Gießen
Rostock Seehafen
Cuxhaven
Hagen-Vorhalle
Illingen (Württ)
Wittenberge
Straubing
Brühl Ost
Erndtebrück
Bremen Hbf
Ingolstadt Nord
Wismar Hafen
Eintracht
Frechen
Glauchau (Sachs)
Braunschweig Hgbf
Hürth (Chemiepark Knapsack)
Plettenberg
Deggendorf Hafen
Villingen (Schwarzw)
Lingen (Ems)
Hirschau
Mosel
Sassnitz-Mukran
Aichstetten
Ludwigshafen (Rhein) BASF
Bremen-Grolland
Germersheim
Laupheim West
Efringen-Kirchen
Mülheim (Ruhr)-Styrum
Herzogenrath
Lahr (Schwarzw)
Ludwigshafen (Rhein) Hbf
Brackwede
Ocholt
Gladbeck West
Erkner
Braunschweig Nord Volkswagen
Osnabrück
Zwickau (Sachs) Hbf
Nieder Ofleiden Gbf
Weißenhorn
Mannheim Rbf
Limburg (Lahn)
Uentrop
Hammerau
Düsseldorf-Rath
Köln-Kalk Nord
Kressbronn
Ludwigsburg Pbf
Köln-Godorf
Oberhausen-Osterfeld Süd
Bützow
Unna-Königsborn
Kassel-Waldau
Fürstenwalde (Spree)
Nammen Grube
Salzgitter-Beddingen VW
Bremen ArcelorMittal
Loeningen Gbf
Salzburg Hbf
Kassel-Bettenhausen
Bunnen
Magdeburg-Rothensee
Wanne-Eickel Hbf
Bremen-Hemelingen
Hannover-Linden
Bad Friedrichshall-Kochendorf
Fichtenberg
Rommerskirchen
Papenburg (Ems)
Peine
Nürnberg Rbf
Bad Friedrichshall-Jagstfeld
Deißlingen
Köln-Niehl
Gevelsberg-Vogelsang
Kornwestheim
Seelze
Hof Hbf
Görlitz Industriebahnhof
Breitengüßbach
Berlin-Ruhleben
Norderstedt Industriebahn
Schongau
Basel Bad Gbf
Wesseling
Rheinkamp
Haren (Ems)
Göttingen
Hannover Nordhafen
Ingolstadt Hbf
Traunstein
Frankfurt (Oder) Pbf
Strasburg (Meckl)
Vilseck
Karlsruhe Gbf
Malchow (Meckl) Bauhof
Bottrop Süd
Saarbrücken Rbf
Dußlingen
Hohenlimburg
Maschen Rbf
Plattling
Lübeck Hgbf
Obernburg-Elsenfeld
Wabern (Bz Kassel)
Krefeld-Uerdingen
Dormagen
Neunkirchen (Saar) Hbf
Forst (Lausitz)
Dortmund Nord
